chembl_id,generic_name,max_phase,mol_type,n_synonyms,brand_names,research_codes
CHEMBL3545181,tiotropium bromide,4.0,Small molecule,22,braltus|spiriva|spiriva respimat|tiotropium bromide|tiotropium bromide,ba 679 br|ba-679 br|ba-679-br|ba-679br
CHEMBL3545185,selinexor,4.0,Small molecule,9,nexpovio|selinexor|selinexor|xpovio,kpt-330
CHEMBL3545210,tas-108,2.0,Small molecule,6,,hlx-801|sr-16234|tas-108
CHEMBL3545252,docetaxel,4.0,Small molecule,28,beizray|docetaxel|docetaxel|docetaxel|docetaxel,rp 56976|rp-56976|xrp6976
CHEMBL3545259,vanucizumab,2.0,Antibody,8,vanucizumab|vanucizumab,rg-7221|rg7221|ro-5520985|ro5520985
CHEMBL3545262,sacituzumab govitecan,4.0,Antibody drug conjugate,12,sacituzumab govitecan|sacituzumab govitecan|trodelvy,hrs7-sn38|hrs7sn38|hrs7-sn38-antibody-drug-conjugate|immu-132
CHEMBL3545280,efatutazone,2.0,Small molecule,5,efatutazone,cs-7017 anhydrous
CHEMBL3545307,merestinib,2.0,Small molecule,6,merestinib|merestinib,ly-2801653|ly2801653
CHEMBL3545308,rociletinib,3.0,Small molecule,17,rociletinib|rociletinib,avl-301|cnx-419|co-1686|cs-1631
CHEMBL3545311,brigatinib,4.0,Small molecule,20,alunbrig|brigatinib|brigatinib,ap-26113|ap26113
CHEMBL3545347,talfirastide,2.0,Protein,25,marstem|talfirastide|talfirastide,a(1-7)|ang-(1-7)|angiotensin (1-7)|etrx-101|txa-127
CHEMBL3545366,voxtalisib,2.0,Small molecule,7,voxtalisib|voxtalisib,sar-245409|sar245409|xl-765|xl765
CHEMBL3545369,epacadostat,3.0,Small molecule,6,epacadostat|epacadostat,incb-024360|incb024360
CHEMBL3545370,emactuzumab,3.0,Antibody,11,emactuzumab|emactuzumab,cxd-301|cxd301|rg-7155|rg7155|ro-5509554
CHEMBL3545373,enoblituzumab,2.0,Antibody,5,enoblituzumab|enoblituzumab,mga-271|mga271
CHEMBL3545376,erdafitinib,4.0,Small molecule,8,balversa|erdafitinib|erdafitinib,jnj-42756493
CHEMBL3545396,bms-690514,2.0,Small molecule,3,,
CHEMBL3545414,rivoceranib mesylate,3.0,Small molecule,7,aitan|rivoceranib mesylate,apatinib (registered name in china)|yn-968d1
CHEMBL355200,eniluracil,3.0,Small molecule,8,eniluracil|eniluracil|eniluracil,776-c-85|776c85
CHEMBL3578202,gozetotide,4.0,Small molecule,3,,
CHEMBL3581693,brilanestrant,2.0,Small molecule,8,brilanestrant|brilanestrant,arn-810|gdc-0810|rg-6046|rg6046
CHEMBL3586404,onatasertib,2.0,Small molecule,8,onatasertib|onatasertib,atg-008|atg008|cc-223|cc223
CHEMBL3590106,ulixertinib,2.0,Small molecule,11,ulixertinib,bvd-erk|vrt-752271
CHEMBL359744,doxorubicin hydrochloride,4.0,Small molecule,30,adriamycin|adriamycin pfs|adriamycin rdf|caelyx|caelyx pegylated liposomal,
CHEMBL361497,artesunate,4.0,Small molecule,21,arsumax|artesunate|artesunate|artesunate amivas,ljpc-0118|nsc-712571
CHEMBL3621988,tucidinostat,3.0,Small molecule,10,epidaza in china|tucidinostat|tucidinostat,cs-055|cs055|hbi-8000
CHEMBL3622533,fimepinostat,2.0,Small molecule,7,fimepinostat|fimepinostat,cudc-907|cudc907
CHEMBL3622820,itacitinib,3.0,Small molecule,9,itacitinib|itacitinib,incb-039110|incb039110
CHEMBL3639788,telaglenastat,2.0,Small molecule,4,telaglenastat|telaglenastat,cb-839
CHEMBL3643413,leniolisib,4.0,Small molecule,16,leniolisib|leniolisib,cdz-173-nx|cdz173-nx
CHEMBL3644587,2x-121,2.0,Small molecule,19,,2x-121|e-7449|e7449
CHEMBL3647420,pyrotinib,3.0,Small molecule,3,pyrotinib,shr-1258
CHEMBL3653256,siremadlin,2.0,Small molecule,9,siremadlin|siremadlin,hdm-201|hdm201|nvp-hdm 201
CHEMBL3657311,ifebemtinib,2.0,Small molecule,9,ifebemtinib,bi853520|in-10018|in10018
CHEMBL3661754,denifanstat,2.0,Small molecule,5,denifanstat,asc-40|tvb-2640
CHEMBL366460,isoflavone,3.0,Small molecule,3,,nsc-135405
CHEMBL367149,doconexent,3.0,Small molecule,13,doconexent,
CHEMBL3678958,ruserontinib,3.0,Small molecule,7,ruserontinib,sklb-1028
CHEMBL368347,(+)-secoisolariciresinol,2.0,Small molecule,1,,
CHEMBL3683575,roginolisib,2.0,Small molecule,9,roginolisib,ioa-244|ioa244|msc2360844
CHEMBL3686884,e-7090,2.0,Small molecule,6,tasurgratinib,e-7090|e7090
CHEMBL3689071,narmafotinib,2.0,Small molecule,6,narmafotinib,amp-945|amp945
CHEMBL3701238,futibatinib,4.0,Small molecule,11,futibatinib|futibatinib|lytgobi,tas-120
CHEMBL3707227,atezolizumab,4.0,Antibody,18,atezolizumab|atezolizumab|atezolizumab component of tecentriq hybreza|tecentriq,anti-pd-l1|anti-pdl1|mpdl-3280a|mpdl3280a|rg-7446
CHEMBL3707228,plozalizumab,2.0,Antibody,7,plozalizumab|plozalizumab,hu1d9|hu-1d9|mln-1202|mln1202
CHEMBL3707235,gemigliptin,3.0,Small molecule,8,gemigliptin,lc-15-0444|lc-150444|lc15-0444
CHEMBL3707260,leucovorin sodium,3.0,Small molecule,6,,
CHEMBL3707266,ribociclib succinate,4.0,Small molecule,9,kisqali|ribociclib succinate|ribociclib succinate component of kisqali femara co-pack,lee-011-bba|lee011-bba|lee-011 succinate
CHEMBL3707279,adagloxad simolenin,3.0,Unknown,4,adagloxad simolenin,obi-822|opt-822
CHEMBL3707285,ferric hydroxide,2.0,Small molecule,2,,
CHEMBL3707309,fexapotide triflutate,3.0,Protein,4,fexapotide triflutate,nx-1207|nx-1207 trifluoroacetate
CHEMBL3707324,utomilumab,3.0,Antibody,5,utomilumab|utomilumab,pf-05082566|pf-5082566
CHEMBL3707348,acalabrutinib,4.0,Small molecule,8,acalabrutinib|acalabrutinib,acp-196
CHEMBL3707349,amcasertib,2.0,Small molecule,5,amcasertib|amcasertib,bbi-503|bbi503
CHEMBL3707381,ofranergene obadenovec,3.0,Gene,5,ofranergene obadenovec|ofranergene obadenovec,vb-111
CHEMBL372764,perifosine,3.0,Small molecule,7,perifosine,aezs-104|krx-0401|nsc-639966
CHEMBL3740500,minnelide,2.0,Small molecule,1,,
CHEMBL376180,aminopterin,2.0,Small molecule,9,,nsc-739
CHEMBL377300,brivanib,3.0,Small molecule,9,brivanib,bms-540215
CHEMBL377559,retaspimycin hydrochloride,3.0,Small molecule,6,retaspimycin hydrochloride,ipi-504|ipi-504 hydrochloride
CHEMBL378031,fluorofuranylnorprogesterone,2.0,Small molecule,1,,
CHEMBL378544,vinblastine sulfate,4.0,Small molecule,19,"velban|velbe|vinblastine sulfate|vinblastine sulfate|vinblast,lederle",29060-le|29060le|nsc-49842
CHEMBL3785909,amg-337,2.0,Small molecule,2,,amg 337
CHEMBL3786343,olmutinib,4.0,Small molecule,9,olmutinib|olmutinib,bi 1482694|bi-1482694|hm-61713|hm61713
CHEMBL3787344,nazartinib,2.0,Small molecule,7,nazartinib|nazartinib,egf-816|egf816|nvp-egf816-nx
CHEMBL38,tretinoin,4.0,Small molecule,36,acticin|altreno|atralin|avita|renova,nsc-122758
CHEMBL3809489,bemcentinib,2.0,Small molecule,16,bemcentinib|bemcentinib,bgb 324|bgb-324|bgb324|cs-1046|hy-15150
CHEMBL3813842,paxalisib,2.0,Small molecule,10,paxalisib|paxalisib,g-02441729|g02441729|gdc-0084|gdc0084|rg 7666
CHEMBL3813873,pexidartinib,4.0,Small molecule,15,pexidartinib|pexidartinib,cml-261|plx-3397|plx3397
CHEMBL3818247,dalmelitinib,2.0,Small molecule,3,dalmelitinib,
CHEMBL382300,ortataxel,2.0,Small molecule,9,ortataxel,bay 59-8862|bay-59-8862|idn 5109|idn-5109|idn5109
CHEMBL3833344,gancotamab,2.0,Antibody,4,gancotamab|gancotamab,mm-302
CHEMBL3833367,satraplatin,3.0,Small molecule,11,satraplatin|satraplatin,bms-182751|bmy-45594|jm-216|nsc-744226
CHEMBL3833368,rucaparib camsylate,4.0,Small molecule,9,rubraca|rucaparib camsylate,c0-338|co-338|pf-1367338-bw
CHEMBL3833369,fish oil,4.0,Unknown,4,,b1782
CHEMBL3833373,avelumab,4.0,Antibody,14,avelumab|avelumab|bavencio,msb-0010682|msb0010682|msb0010718c
CHEMBL3833374,andecaliximab,3.0,Antibody,5,andecaliximab|andecaliximab,gs-5745|gs5745
CHEMBL3833384,eflapegrastim,4.0,Protein,13,eflapegrastim|eflapegrastim|rolvedon,hm-10460a|hm10460a|hnk-460|hnk460|spi-2012
CHEMBL383824,alvespimycin,2.0,Small molecule,5,alvespimycin,nsc-707545
CHEMBL384467,dexamethasone,4.0,Small molecule,69,aeroseb-dex|decaderm|decadron|decadron-75|decaspray,isv-305|nsc-34521|oto-104
CHEMBL386630,testosterone,4.0,Small molecule,40,androderm|androgel|androgel 1%|andropatch|axiron,nsc-9700|testim
CHEMBL387675,daptomycin,4.0,Small molecule,23,cubicin|cubicin rf|daptomycin|daptomycin|daptomycin,ly 146032|ly-146032|ly-164032
CHEMBL3889654,larotrectinib,4.0,Small molecule,17,larotrectinib|larotrectinib,arry-470|bay-2757556|bay2757556|loxo-101
CHEMBL3894860,trilaciclib,4.0,Small molecule,6,trilaciclib|trilaciclib,g1t28
CHEMBL389621,hydrocortisone,4.0,Small molecule,125,acetasol hc|acticort|aeroseb-hc|ala-cort|ala-scalp,flexicort|nsc-10483
CHEMBL3904602,lerociclib,3.0,Small molecule,7,lerociclib|lerociclib,g1t-38|g1t38|g1t38 free base
CHEMBL3907479,fgfr inhibitor debio 1347,2.0,Small molecule,1,,
CHEMBL3911164,varegacestat,2.0,Small molecule,6,varegacestat,
CHEMBL3917975,cambritaxestat,2.0,Small molecule,6,cambritaxestat,crt0273750|ioa-289|ioa289
CHEMBL3919831,amredobresib,2.0,Small molecule,5,amredobresib,bi-894999|bi894999
CHEMBL3930624,fluzoparib,3.0,Small molecule,8,fuzuloparib,hs-10160|hs10160|shr-3162|shr3162
CHEMBL393220,atorvastatin calcium,4.0,Small molecule,20,atorvaliq|atorvastatin calcium|atorvastatin calcium|atorvastatin calcium component of caduet|atorvastatin calcium component of liptruzet,ci-981|nsc-758617
CHEMBL3935857,serabelisib,2.0,Small molecule,10,serabelisib,agn-pc-0db6fl|ink1117|mln-1117|mln1117|tak-117
